_get_feedback | HELPER | Shared | Coordinates services.learning.behavior_tracker, services.learning.feedback_interpreter. | None identified | MAIN
_get_outbound_drafts_for_session | HELPER | Drafts/Outbound | Get all legacy-format drafts for a session from the outbound DraftStore. | services/outbound/** | services/outbound/**
_SYNONYM_STRATEGY_TABLE | STATE | Application State | In-process main.py state: [(['short', 'concise', 'punchy', 'tighten', 'trim', 'cut', 'fluff', 'reduce'], 'shorten'), (['longer', 'expand', 'more d. | services/workspace_state.py / durable repositories where applicable | MAIN
_classify_rewrite_strategy | HELPER | Strategy | Map a user's edit instruction to a rewrite strategy using synonym matching. | services/strategic/** / services/planner/** | services/strategic/** / services/planner/**
_evidence_trace | HELPER | Campaigns | Retain internal provenance for every generated draft. | Campaign application service (not yet extracted) | Campaign application service (not yet extracted)
_run_draft_with_retry | HELPER | Drafts/Outbound | Run a single draft workflow, retrying transient OpenAI failures. | services/outbound/** | services/outbound/**
_process_batch_drafts | ORCHESTRATION | Drafts/Outbound | Coordinates asyncio, datetime, services.workspace_timeline, and other services. | services/workspace_timeline.py | services/workspace_timeline.py
_RATE_LIMIT_IDENTITY_TTL_SECONDS | STATE | Application State | In-process main.py state: 30.0. | services/workspace_state.py / durable repositories where applicable | MAIN
_RATE_LIMIT_IDENTITY_CACHE_MAX | STATE | Application State | In-process main.py state: 5000. | services/workspace_state.py / durable repositories where applicable | MAIN
_rate_limit_identity_cache | STATE | Application State | In-process main.py state: {}. | services/workspace_state.py / durable repositories where applicable | MAIN
_resolve_rate_limit_identity | AUTH | Inbox/Conversations | Return the user id owning this web-session token (""). | services/conversations/** / services/communication/** | services/conversations/** / services/communication/**
rate_limit_middleware | BUSINESS-LOGIC | Drafts/Outbound | PR10.5 — production rate limiting. | services/outbound/** | services/outbound/**
log_requests | BUSINESS-LOGIC | Shared | Coordinates services.operations, time, uuid. | None identified | MAIN
_discovery_query_from_search_context | HELPER | Provider/OAuth | Build the provider query from the validated structured search state. | services/communication/** / services/identity/** | services/communication/** / services/identity/**
_discovery_title_from_search_context | HELPER | Discovery | Return a concise display label without changing the execution query. | services/discovery.py / services/job_engine/** | services/discovery.py / services/job_engine/**
_run_copilot_discovery | ORCHESTRATION | Copilot | Discovery tool adapter; the existing search-run pipeline remains authoritative. | services/copilot_tools.py / services/copilot_orchestrator.py | services/copilot_tools.py / services/copilot_orchestrator.py
_run_copilot_campaign | ORCHESTRATION | Copilot | Campaign tool adapter over the existing workspace and job services. | services/copilot_tools.py / services/copilot_orchestrator.py | services/copilot_tools.py / services/copilot_orchestrator.py
_run_copilot_outreach | ORCHESTRATION | Copilot | Thin Copilot adapter over the canonical workspace/outbound draft paths. | services/outbound/** | services/outbound/**
_run_copilot_inbox | ORCHESTRATION | Copilot | Copilot adapter over the canonical conversation and reply services. | services/copilot_tools.py / services/copilot_orchestrator.py | services/copilot_tools.py / services/copilot_orchestrator.py
_run_copilot_knowledge | ORCHESTRATION | Copilot | Read-only Copilot adapter over the canonical Knowledge service. | services/copilot_tools.py / services/copilot_orchestrator.py | services/copilot_tools.py / services/copilot_orchestrator.py
_run_copilot_analytics | ORCHESTRATION | Copilot | Read-only adapter over the existing workspace snapshot aggregations. | services/copilot_tools.py / services/copilot_orchestrator.py | services/copilot_tools.py / services/copilot_orchestrator.py
_copilot_read_message | HELPER | Copilot | Local application helper or response-shaping logic. | services/copilot_tools.py / services/copilot_orchestrator.py | services/copilot_tools.py / services/copilot_orchestrator.py
_copilot_grounded_response_text | HELPER | Copilot | Explain an authoritative read result without inventing workspace facts. | services/copilot_tools.py / services/copilot_orchestrator.py | services/copilot_tools.py / services/copilot_orchestrator.py
_register_outbound_providers | HELPER | Drafts/Outbound | Local application helper or response-shaping logic. | services/outbound/** | services/outbound/**
_register_execution_adapters | HELPER | Provider/OAuth | Coordinates services.execution. | services/execution/** | services/execution/**
_register_credential_descriptors | HELPER | Provider/OAuth | Coordinates services.adapters.credentials. | services/communication/** / services/identity/** | services/communication/** / services/identity/**
_register_credential_instance | HELPER | Provider/OAuth | Coordinates services.adapters.credentials. | services/communication/** / services/identity/** | services/communication/** / services/identity/**
_restore_providers_for_startup | PERSISTENCE | Drafts/Outbound | Restore provider instances and recover interrupted work at startup. | services/communication/** | services/communication/**
_reconcile_runtime_providers | HELPER | Provider/OAuth | Enforce the one-active-provider-per-(user, provider_type) invariant. | services/communication/** | services/communication/**
_start_outbound_scheduler | HELPER | Drafts/Outbound | Coordinates asyncio. | services/outbound/** | services/outbound/**
read_root | ROUTE | Application/HTTP | HTTP handler for GET /. | None identified | MAIN
gmail_auth_url | ROUTE | Provider/OAuth | HTTP handler for GET /api/auth/gmail/url. | services/communication/** / services/identity/** | services/communication/** / services/identity/**
_GMAIL_CONNECT_LOCKS_MAX | STATE | Application State | In-process main.py state: 4096. | services/workspace_state.py / durable repositories where applicable | MAIN
_gmail_connect_locks | STATE | Application State | In-process main.py state: {}. | services/workspace_state.py / durable repositories where applicable | MAIN
_gmail_connect_lock | HELPER | Provider/OAuth | Coordinates asyncio. | services/communication/** / services/identity/** | services/communication/** / services/identity/**
_remove_existing_gmail_provider | HELPER | Provider/OAuth | Disconnect and remove any running Gmail provider instances for a user. | services/communication/** | services/communication/**
_frontend_postmessage_origin | HELPER | Provider/OAuth | Origin the OAuth callback may postMessage to (the Loqi frontend). | services/communication/** / services/identity/** | services/communication/** / services/identity/**
_resolve_oauth_state_user | HELPER | Provider/OAuth | Resolve the OAuth callback state to the durable Loqi user id. | services/communication/** / services/identity/** | services/communication/** / services/identity/**
_perform_gmail_oauth_persistence | PERSISTENCE | Provider/OAuth | PR-2A: complete one Gmail connection for a user. | services/communication/** | services/communication/**
gmail_auth_callback | ROUTE | Provider/OAuth | HTTP handler for GET /api/auth/gmail/callback. | services/communication/** / services/identity/** | services/communication/** / services/identity/**
health | ROUTE | Provider/OAuth | HTTP handler for GET /health. | services/communication/** / services/identity/** | services/communication/** / services/identity/**
telegram_webhook | ROUTE | Application/HTTP | HTTP handler for POST /webhook. | None identified | MAIN
create_web_session | ROUTE | Identity/Auth | HTTP handler for POST /api/web/session. | services/identity/** | services/identity/**
get_web_session | ROUTE | Identity/Auth | HTTP handler for GET /api/web/session/{session_token}. | services/identity/** | services/identity/**
get_web_session_messages | ROUTE | Identity/Auth | HTTP handler for GET /api/web/session/{session_token}/messages. | services/identity/** | services/identity/**
post_web_session_message | ROUTE | Identity/Auth | HTTP handler for POST /api/web/session/{session_token}/messages. | services/identity/** | services/identity/**
VALID_CAMPAIGN_STATUSES | STATE | Application State | In-process main.py state: {'planning', 'active', 'paused', 'completed', 'archived', 'cancelled', 'failed', 'deleted'}. | services/workspace_state.py / durable repositories where applicable | MAIN
batch_draft | ROUTE | Drafts/Outbound | HTTP handler for POST /api/web/session/{session_token}/batch-draft. | services/outbound/** | services/outbound/**
batch_status | ROUTE | Campaigns | HTTP handler for GET /api/web/session/{session_token}/batch-status/{batch_id}. | Campaign application service (not yet extracted) | Campaign application service (not yet extracted)
analyze_campaigns_endpoint | ROUTE | Campaigns | HTTP handler for POST /api/web/session/{session_token}/analyze-campaigns. | Campaign application service (not yet extracted) | Campaign application service (not yet extracted)
list_drafts | ROUTE | Drafts/Outbound | HTTP handler for GET /api/web/session/{session_token}/drafts. | services/outbound/** | services/outbound/**
update_draft | ROUTE | Drafts/Outbound | HTTP handler for PUT /api/web/session/{session_token}/drafts/{draft_id}. | services/outbound/** | services/outbound/**
refine_draft | ROUTE | Drafts/Outbound | HTTP handler for POST /api/web/session/{session_token}/drafts/{draft_id}/refine. | services/outbound/** | services/outbound/**
analyze_draft_endpoint | ROUTE | Campaigns | HTTP handler for POST /api/web/session/{session_token}/drafts/analyze. | Campaign application service (not yet extracted) | Campaign application service (not yet extracted)
ask_draft_question_endpoint | ROUTE | Campaigns | HTTP handler for POST /api/web/session/{session_token}/drafts/ask. | Campaign application service (not yet extracted) | Campaign application service (not yet extracted)
_call_outbound_approval | HELPER | Drafts/Outbound | Adapter: after legacy approval, also execute through outbound engine. | services/outbound/** | services/outbound/**
_emit_draft_event | HELPER | Campaigns | PR-3E: draft lifecycle event via Redis pub/sub. | Campaign application service (not yet extracted) | Campaign application service (not yet extracted)
approve_draft | ROUTE | Drafts/Outbound | HTTP handler for POST /api/web/session/{session_token}/drafts/{draft_id}/approve. | services/outbound/** | services/outbound/**
undo_draft | ROUTE | Drafts/Outbound | HTTP handler for POST /api/web/session/{session_token}/drafts/{draft_id}/undo. | services/outbound/** | services/outbound/**
draft_rewrite_history | ROUTE | Drafts/Outbound | HTTP handler for GET /api/web/session/{session_token}/drafts/{draft_id}/history. | services/outbound/** | services/outbound/**
compare_draft_versions | ROUTE | Drafts/Outbound | HTTP handler for POST /api/web/session/{session_token}/drafts/compare. | services/outbound/** | services/outbound/**
communication_analyze | ROUTE | Inbox/Conversations | HTTP handler for POST /api/web/session/{session_token}/communication/analyze. | services/conversations/** / services/communication/** | services/conversations/** / services/communication/**
communication_memory_update | ROUTE | Inbox/Conversations | HTTP handler for POST /api/web/session/{session_token}/communication/memory/update. | services/conversations/** / services/communication/** | services/conversations/** / services/communication/**
communication_recommend | ROUTE | Inbox/Conversations | HTTP handler for POST /api/web/session/{session_token}/communication/recommend. | services/conversations/** / services/communication/** | services/conversations/** / services/communication/**
communication_summary | ROUTE | Inbox/Conversations | HTTP handler for POST /api/web/session/{session_token}/communication/summary. | services/conversations/** / services/communication/** | services/conversations/** / services/communication/**
communication_timeline | ROUTE | Inbox/Conversations | HTTP handler for GET /api/web/session/{session_token}/communication/{conversation_id}/timeline. | services/conversations/** / services/communication/** | services/conversations/** / services/communication/**
list_workspaces | ROUTE | Workspace | List workspaces in every organization the caller actively belongs to. | services/workspace_context.py / services/workspace_state.py | services/workspace_context.py / services/workspace_state.py
select_workspace | ROUTE | Workspace | Validate + return the context for an explicitly selected workspace. | services/workspace_context.py / services/workspace_state.py | services/workspace_context.py / services/workspace_state.py
create_workspace | ROUTE | Workspace | Create an additional workspace in an organization the caller is an ACTIVE member of (owner/admin role required). | services/workspace_context.py / services/workspace_state.py | services/workspace_context.py / services/workspace_state.py
_default_workspace_slug | WORKSPACE | Workspace | Local application helper or response-shaping logic. | services/workspace_context.py / services/workspace_state.py | services/workspace_context.py / services/workspace_state.py
dev_workspace_context | ROUTE | Copilot | HTTP handler for GET /api/web/session/{session_token}/workspace-context. | services/copilot_tools.py / services/copilot_orchestrator.py | services/copilot_tools.py / services/copilot_orchestrator.py
provider_connect | ROUTE | Provider/OAuth | HTTP handler for POST /api/web/session/{session_token}/providers/connect. | services/communication/** | services/communication/**
provider_disconnect | ROUTE | Provider/OAuth | HTTP handler for POST /api/web/session/{session_token}/providers/{provider_id}/disconnect. | services/communication/** | services/communication/**
provider_list | ROUTE | Provider/OAuth | PR-2A: durable-source-of-truth provider listing. | services/communication/** | services/communication/**
provider_health | ROUTE | Provider/OAuth | HTTP handler for GET /api/web/session/{session_token}/providers/{provider_id}/health. | services/communication/** | services/communication/**
provider_sync | ROUTE | Provider/OAuth | HTTP handler for POST /api/web/session/{session_token}/providers/{provider_id}/sync. | services/communication/** | services/communication/**
provider_status | ROUTE | Provider/OAuth | HTTP handler for GET /api/web/session/{session_token}/providers/{provider_id}/status. | services/communication/** | services/communication/**
provider_threads | ROUTE | Provider/OAuth | List all tracked thread mappings for a provider. | services/communication/** / services/identity/** | services/communication/** / services/identity/**
provider_messages | ROUTE | Provider/OAuth | Get message count, mailbox info, and recent activity for a provider. | services/communication/** | services/communication/**
provider_events_endpoint | ROUTE | Provider/OAuth | HTTP handler for GET /api/web/session/{session_token}/providers/events. | services/communication/** | services/communication/**
provider_registered_types | ROUTE | Provider/OAuth | HTTP handler for GET /api/web/session/{session_token}/providers/registered. | services/communication/** | services/communication/**
outbound_create_draft | ROUTE | Drafts/Outbound | HTTP handler for POST /api/web/session/{session_token}/outbound/drafts. | services/outbound/** | services/outbound/**
outbound_update_draft | ROUTE | Drafts/Outbound | HTTP handler for PATCH /api/web/session/{session_token}/outbound/drafts/{draft_id}. | services/outbound/** | services/outbound/**
outbound_delete_draft | ROUTE | Drafts/Outbound | HTTP handler for DELETE /api/web/session/{session_token}/outbound/drafts/{draft_id}. | services/outbound/** | services/outbound/**
_test_recipient_override_enabled | HELPER | Shared | Coordinates os. | None identified | MAIN
send_draft | ROUTE | Drafts/Outbound | HTTP handler for POST /api/web/session/{session_token}/drafts/{draft_id}/send. | services/communication/**; services/outbound/** | services/communication/**; services/outbound/**
schedule_draft | ROUTE | Drafts/Outbound | HTTP handler for POST /api/web/session/{session_token}/drafts/{draft_id}/schedule. | services/outbound/** | services/outbound/**
cancel_schedule_draft | ROUTE | Drafts/Outbound | HTTP handler for POST /api/web/session/{session_token}/drafts/{draft_id}/cancel-schedule. | services/outbound/** | services/outbound/**
outbound_send | ROUTE | Drafts/Outbound | Compatibility alias for canonical Draft send; payload is not authority. | services/outbound/** | services/outbound/**
outbound_schedule | ROUTE | Drafts/Outbound | HTTP handler for POST /api/web/session/{session_token}/outbound/schedule. | services/outbound/** | services/outbound/**
outbound_cancel_schedule | ROUTE | Drafts/Outbound | HTTP handler for DELETE /api/web/session/{session_token}/outbound/schedule/{schedule_id}. | services/outbound/** | services/outbound/**
outbound_list_drafts | ROUTE | Drafts/Outbound | HTTP handler for GET /api/web/session/{session_token}/outbound/drafts. | services/outbound/** | services/outbound/**
outbound_get_draft | ROUTE | Drafts/Outbound | HTTP handler for GET /api/web/session/{session_token}/outbound/drafts/{draft_id}. | services/outbound/** | services/outbound/**
outbound_approve_draft | ROUTE | Drafts/Outbound | HTTP handler for POST /api/web/session/{session_token}/outbound/drafts/{draft_id}/approve. | services/outbound/** | services/outbound/**
outbound_reject_draft | ROUTE | Drafts/Outbound | HTTP handler for POST /api/web/session/{session_token}/outbound/drafts/{draft_id}/reject. | services/outbound/** | services/outbound/**
outbound_approve_all | ROUTE | Drafts/Outbound | HTTP handler for POST /api/web/session/{session_token}/outbound/approve-all. | services/outbound/** | services/outbound/**
outbound_history | ROUTE | Drafts/Outbound | HTTP handler for GET /api/web/session/{session_token}/outbound/history. | services/outbound/** | services/outbound/**
outbound_events_endpoint | ROUTE | Drafts/Outbound | HTTP handler for GET /api/web/session/{session_token}/outbound/events. | services/outbound/** | services/outbound/**
outbound_draft_versions | ROUTE | Drafts/Outbound | HTTP handler for GET /api/web/session/{session_token}/outbound/drafts/{draft_id}/versions. | services/outbound/** | services/outbound/**
_knowledge_service | HELPER | Knowledge | Local application helper or response-shaping logic. | services/knowledge/** | services/knowledge/**
_knowledge_workspace | WORKSPACE | Knowledge | Resolve (owner_id, workspace_id) for the authenticated session. | services/knowledge/** | services/knowledge/**
list_knowledge | ROUTE | Knowledge | HTTP handler for GET /api/web/session/{session_token}/knowledge. | services/knowledge/** | services/knowledge/**
create_knowledge_item | ROUTE | Knowledge | HTTP handler for POST /api/web/session/{session_token}/knowledge. | services/knowledge/** | services/knowledge/**
list_knowledge_sources | ROUTE | Knowledge | HTTP handler for GET /api/web/session/{session_token}/knowledge/sources. | services/knowledge/** | services/knowledge/**
create_knowledge_source | ROUTE | Knowledge | HTTP handler for POST /api/web/session/{session_token}/knowledge/sources. | services/knowledge/** | services/knowledge/**
update_knowledge_source | ROUTE | Knowledge | HTTP handler for PUT /api/web/session/{session_token}/knowledge/sources/{source_id}. | services/knowledge/** | services/knowledge/**
archive_knowledge_source | ROUTE | Knowledge | HTTP handler for DELETE /api/web/session/{session_token}/knowledge/sources/{source_id}. | services/knowledge/** | services/knowledge/**
get_knowledge_item | ROUTE | Knowledge | HTTP handler for GET /api/web/session/{session_token}/knowledge/{item_id}. | services/knowledge/** | services/knowledge/**
update_knowledge_item | ROUTE | Knowledge | HTTP handler for PUT /api/web/session/{session_token}/knowledge/{item_id}. | services/knowledge/** | services/knowledge/**
archive_knowledge_item | ROUTE | Knowledge | HTTP handler for DELETE /api/web/session/{session_token}/knowledge/{item_id}. | services/knowledge/** | services/knowledge/**
_strategic_service | HELPER | Shared | Local application helper or response-shaping logic. | None identified | MAIN
list_strategic_updates | ROUTE | Identity/Auth | HTTP handler for GET /api/web/session/{session_token}/strategic-updates. | services/identity/** | services/identity/**
refresh_strategic_updates | ROUTE | Workspace | HTTP handler for POST /api/web/session/{session_token}/strategic-updates/refresh. | services/workspace_context.py / services/workspace_state.py | services/workspace_context.py / services/workspace_state.py
list_strategic_actions | ROUTE | Workspace | HTTP handler for GET /api/web/session/{session_token}/strategic-updates/{update_id}/actions. | services/workspace_context.py / services/workspace_state.py | services/workspace_context.py / services/workspace_state.py
propose_strategic_action | ROUTE | Workspace | HTTP handler for POST /api/web/session/{session_token}/strategic-updates/{update_id}/actions. | services/workspace_context.py / services/workspace_state.py | services/workspace_context.py / services/workspace_state.py
get_strategic_update | ROUTE | Workspace | HTTP handler for GET /api/web/session/{session_token}/strategic-updates/{update_id}. | services/workspace_context.py / services/workspace_state.py | services/workspace_context.py / services/workspace_state.py
_strategic_action_service | HELPER | Shared | Local application helper or response-shaping logic. | None identified | MAIN
_strategic_action_http_error | HELPER | Shared | Coordinates fastapi. | None identified | MAIN
_action_route_call | HELPER | Shared | Local application helper or response-shaping logic. | None identified | MAIN
approve_strategic_action | ROUTE | Workspace | HTTP handler for POST /api/web/session/{session_token}/strategic-actions/{action_id}/approve. | services/workspace_context.py / services/workspace_state.py | services/workspace_context.py / services/workspace_state.py
dismiss_strategic_action | ROUTE | Workspace | HTTP handler for POST /api/web/session/{session_token}/strategic-actions/{action_id}/dismiss. | services/workspace_context.py / services/workspace_state.py | services/workspace_context.py / services/workspace_state.py
refine_strategic_action | ROUTE | Workspace | HTTP handler for POST /api/web/session/{session_token}/strategic-actions/{action_id}/refine. | services/workspace_context.py / services/workspace_state.py | services/workspace_context.py / services/workspace_state.py
execute_strategic_action | ROUTE | Workspace | HTTP handler for POST /api/web/session/{session_token}/strategic-actions/{action_id}/execute. | services/workspace_context.py / services/workspace_state.py | services/workspace_context.py / services/workspace_state.py
archive_strategic_update | ROUTE | Workspace | HTTP handler for DELETE /api/web/session/{session_token}/strategic-updates/{update_id}. | services/workspace_context.py / services/workspace_state.py | services/workspace_context.py / services/workspace_state.py
_workspace_owner | WORKSPACE | Workspace | Resolve the durable workspace owner, never the temporary web token. | services/workspace_context.py / services/workspace_state.py | services/workspace_context.py / services/workspace_state.py
_session_token_from_request | HELPER | Identity/Auth | Return the web-session token from the Authorization header only. | services/identity/** | services/identity/**
_copilot_tool_failure_reason | HELPER | Copilot | Return a stable user-facing failure without leaking driver details. | services/copilot_tools.py / services/copilot_orchestrator.py | services/copilot_tools.py / services/copilot_orchestrator.py
_LEGACY_USER_BRIDGE_TTL_SECONDS | STATE | Application State | In-process main.py state: 60. | services/workspace_state.py / durable repositories where applicable | MAIN
_ensure_authenticated_web_user_bridge | AUTH | Jobs | Provision the legacy job/workflow user row for an authenticated web user. | services/identity/** | services/identity/**
_resolve_session_context | AUTH | Identity/Auth | Return ``(owner_id, web_session_token)`` from the Authorization header. | services/identity/** | services/identity/**
_BINDING_TTL_SECONDS | STATE | Application State | In-process main.py state: 10. | services/workspace_state.py / durable repositories where applicable | MAIN
_web_session_binding | HELPER | Identity/Auth | Resolve the canonical web-session binding for a bearer token. | services/identity/** | services/identity/**
_cached_session_identity | AUTH | Provider/OAuth | PR-2B: minimal per-token identity with a 15s TTL. | services/communication/** / services/identity/** | services/communication/** / services/identity/**
_workspace_owner_and_summary | WORKSPACE | Workspace | Resolve the durable workspace owner and the web-session summary. | services/workspace_context.py / services/workspace_state.py | services/workspace_context.py / services/workspace_state.py
_workspace_campaigns | WORKSPACE | Campaigns | Local application helper or response-shaping logic. | Campaign application service (not yet extracted) | Campaign application service (not yet extracted)
_workspace_drafts | WORKSPACE | Drafts/Outbound | Local application helper or response-shaping logic. | services/outbound/** | services/outbound/**
_workspace_id_from_request | WORKSPACE | Workspace | The explicitly selected workspace id (header), if any. | services/workspace_context.py / services/workspace_state.py | services/workspace_context.py / services/workspace_state.py
_resolve_selected_workspace_context | WORKSPACE | Workspace | Resolve + validate the selected workspace context for the caller. | services/workspace_context.py / services/workspace_state.py | services/workspace_context.py / services/workspace_state.py
_selected_workspace_id | WORKSPACE | Workspace | The validated selected workspace id for the caller (raises on error). | services/workspace_context.py / services/workspace_state.py | services/workspace_context.py / services/workspace_state.py
_resolved_workspace_id_or_default | WORKSPACE | Workspace | Selected workspace, falling back to the owner-based single-workspace default when membership resolution finds no accessible workspace (legacy / fixture accounts without a dura | services/workspace_context.py / services/workspace_state.py | services/workspace_context.py / services/workspace_state.py
save_campaign | ROUTE | Campaigns | HTTP handler for POST /api/web/session/{session_token}/campaigns. | services/workspace_timeline.py | services/workspace_timeline.py
list_campaigns | ROUTE | Campaigns | HTTP handler for GET /api/web/session/{session_token}/campaigns. | Campaign application service (not yet extracted) | Campaign application service (not yet extracted)
campaign_summary | ROUTE | Campaigns | HTTP handler for GET /api/web/session/{session_token}/campaigns/summary. | Campaign application service (not yet extracted) | Campaign application service (not yet extracted)
get_campaign | ROUTE | Campaigns | HTTP handler for GET /api/web/session/{session_token}/campaigns/{campaign_id}. | Campaign application service (not yet extracted) | Campaign application service (not yet extracted)
campaign_launch_progress | ROUTE | Campaigns | HTTP handler for GET /api/web/session/{session_token}/campaigns/{campaign_id}/launch-progress. | Campaign application service (not yet extracted) | Campaign application service (not yet extracted)
campaign_timeline | ROUTE | Campaigns | HTTP handler for GET /api/web/session/{session_token}/campaigns/{campaign_id}/timeline. | Campaign application service (not yet extracted) | Campaign application service (not yet extracted)
