LOQI R1-A — EXTERNAL CONTRACT FREEZE
Generated from current source and test references; read-only characterization. Date: 2026-08-27.
STATUS LEGEND: VERIFIED = implementation plus direct test reference located; IMPLEMENTED but untested = source route exists but no direct route-level test located; TESTED but implementation path unclear = test reference found but request/response contract is not explicit in source; UNCLEAR/CONTRADICTORY = actual contract has conflicting/implicit behavior.

GLOBAL TRANSPORT / AUTH CONTRACT
• Legacy web-session family (/api/web/session/...): HTTP middleware requires Authorization: Bearer <identity access token or web-session bearer>; path {session_token} is explicitly ignored as a credential. Missing/invalid credentials return {"detail": string}, 401. The creation bootstrap POST /api/web/session is excluded.
• Selected workspace: X-Workspace-Id is optional client input, independently membership-authorized. Multi-workspace/no selection can return 409; legacy owner default fallback remains in _resolved_workspace_id_or_default, so this is an explicit compatibility exception, not universal strict workspace selection.
• Identity routers: Authorization: Bearer opaque identity access-session token, with 401 {"detail": string}; OAuth callbacks use query parameters/state; Stripe webhook uses Stripe-Signature; Telegram webhook authenticity is not evident at route decorator level.
• Request headers observed: Authorization; X-Workspace-Id; X-Timezone (briefing); Stripe-Signature; standard OAuth callback query code/state. No cookie auth is accepted by identity dependency.
• Generic FastAPI validation errors are 422 with detail array. Explicit HTTPException usually serializes as {"detail": string}; unhandled exceptions are framework 500 (shape not explicitly frozen by application).

ROUTE MANIFEST — EVERY DECLARED HTTP ROUTE
Columns: STATUS | METHOD PATH | AUTH/HEADERS | REQUEST | SUCCESS/ERROR CONTRACT | IMPLEMENTATION
IMPLEMENTED but untested | GET /api/web/session/{session_token}/drafts | legacy web-session; Bearer middleware; path session token ignored | session_token:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:4523 (list_drafts)
IMPLEMENTED but untested | PUT /api/web/session/{session_token}/drafts/{draft_id} | legacy web-session; Bearer middleware; path session token ignored | session_token:str, draft_id:str, payload:UpdateDraftRequest, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:4536 (update_draft)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/drafts/{draft_id}/refine | legacy web-session; Bearer middleware; path session token ignored | session_token:str, draft_id:str, payload:RefineDraftRequest, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:4557 (refine_draft)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/drafts/analyze | legacy web-session; Bearer middleware; path session token ignored | session_token:str, payload:AnalyzeDraftRequest | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:4690 (analyze_draft_endpoint)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/drafts/ask | legacy web-session; Bearer middleware; path session token ignored | session_token:str, payload:AskDraftQuestionRequest | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:4741 (ask_draft_question_endpoint)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/drafts/{draft_id}/approve | legacy web-session; Bearer middleware; path session token ignored | session_token:str, draft_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:4822 (approve_draft)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/drafts/{draft_id}/undo | legacy web-session; Bearer middleware; path session token ignored | session_token:str, draft_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:4874 (undo_draft)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/drafts/{draft_id}/history | legacy web-session; Bearer middleware; path session token ignored | session_token:str, draft_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:4899 (draft_rewrite_history)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/drafts/compare | legacy web-session; Bearer middleware; path session token ignored | session_token:str, payload:CompareDraftVersionsRequest | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:4919 (compare_draft_versions)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/communication/analyze | legacy web-session; Bearer middleware; path session token ignored | session_token:str, payload:AnalyzeMessageRequest | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:4942 (communication_analyze)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/communication/memory/update | legacy web-session; Bearer middleware; path session token ignored | session_token:str, payload:AnalyzeMessageRequest, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:4962 (communication_memory_update)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/communication/recommend | legacy web-session; Bearer middleware; path session token ignored | session_token:str, payload:RecommendRequest | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:5003 (communication_recommend)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/communication/summary | legacy web-session; Bearer middleware; path session token ignored | session_token:str, payload:SummaryRequest | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:5021 (communication_summary)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/communication/{conversation_id}/timeline | legacy web-session; Bearer middleware; path session token ignored | session_token:str, conversation_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:5036 (communication_timeline)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/workspaces | legacy web-session; Bearer middleware; path session token ignored | session_token:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:5069 (list_workspaces)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/workspaces/select | legacy web-session; Bearer middleware; path session token ignored | session_token:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:5079 (select_workspace)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/workspaces | legacy web-session; Bearer middleware; path session token ignored | session_token:str, payload:CreateWorkspaceRequest, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:5097 (create_workspace)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/workspace-context | legacy web-session; Bearer middleware; path session token ignored | session_token:str, conversation_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:5148 (dev_workspace_context)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/providers/connect | legacy web-session; Bearer middleware; path session token ignored | session_token:str, payload:ProviderConnectRequest, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:5174 (provider_connect)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/providers/{provider_id}/disconnect | legacy web-session; Bearer middleware; path session token ignored | session_token:str, provider_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:5222 (provider_disconnect)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/providers | legacy web-session; Bearer middleware; path session token ignored | session_token:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:5249 (provider_list)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/providers/{provider_id}/health | legacy web-session; Bearer middleware; path session token ignored | session_token:str, provider_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:5356 (provider_health)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/providers/{provider_id}/sync | legacy web-session; Bearer middleware; path session token ignored | session_token:str, provider_id:str, request:Request, cursor:str | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:5383 (provider_sync)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/providers/{provider_id}/status | legacy web-session; Bearer middleware; path session token ignored | session_token:str, provider_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:5409 (provider_status)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/providers/{provider_id}/threads | legacy web-session; Bearer middleware; path session token ignored | session_token:str, provider_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:5433 (provider_threads)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/providers/{provider_id}/messages | legacy web-session; Bearer middleware; path session token ignored | session_token:str, provider_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:5450 (provider_messages)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/providers/events | legacy web-session; Bearer middleware; path session token ignored | session_token:str, request:Request, provider_id:str, after:int | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:5467 (provider_events_endpoint)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/providers/registered | legacy web-session; Bearer middleware; path session token ignored | session_token:str | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:5516 (provider_registered_types)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/outbound/drafts | legacy web-session; Bearer middleware; path session token ignored | session_token:str, payload:OutboundCreateDraftRequest, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:5594 (outbound_create_draft)
IMPLEMENTED but untested | PATCH /api/web/session/{session_token}/outbound/drafts/{draft_id} | legacy web-session; Bearer middleware; path session token ignored | session_token:str, draft_id:str, payload:OutboundUpdateDraftRequest, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:5654 (outbound_update_draft)
IMPLEMENTED but untested | DELETE /api/web/session/{session_token}/outbound/drafts/{draft_id} | legacy web-session; Bearer middleware; path session token ignored | session_token:str, draft_id:str, provider_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:5693 (outbound_delete_draft)
VERIFIED | POST /api/web/session/{session_token}/drafts/{draft_id}/send | legacy web-session; Bearer middleware; path session token ignored | session_token:str, draft_id:str, request:Request, payload:SendDraftRequest | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:5730 (send_draft)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/drafts/{draft_id}/schedule | legacy web-session; Bearer middleware; path session token ignored | session_token:str, draft_id:str, payload:ScheduleDraftRequest, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:5859 (schedule_draft)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/drafts/{draft_id}/cancel-schedule | legacy web-session; Bearer middleware; path session token ignored | session_token:str, draft_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:5894 (cancel_schedule_draft)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/outbound/send | legacy web-session; Bearer middleware; path session token ignored | session_token:str, payload:OutboundSendRequest, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:5920 (outbound_send)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/outbound/schedule | legacy web-session; Bearer middleware; path session token ignored | session_token:str, payload:OutboundScheduleRequest, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:5928 (outbound_schedule)
IMPLEMENTED but untested | DELETE /api/web/session/{session_token}/outbound/schedule/{schedule_id} | legacy web-session; Bearer middleware; path session token ignored | session_token:str, schedule_id:str, provider_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:5935 (outbound_cancel_schedule)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/outbound/drafts | legacy web-session; Bearer middleware; path session token ignored | session_token:str, request:Request, provider_id:str | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:5955 (outbound_list_drafts)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/outbound/drafts/{draft_id} | legacy web-session; Bearer middleware; path session token ignored | session_token:str, draft_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:5969 (outbound_get_draft)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/outbound/drafts/{draft_id}/approve | legacy web-session; Bearer middleware; path session token ignored | session_token:str, draft_id:str, auto:bool, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:5978 (outbound_approve_draft)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/outbound/drafts/{draft_id}/reject | legacy web-session; Bearer middleware; path session token ignored | session_token:str, draft_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:6028 (outbound_reject_draft)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/outbound/approve-all | legacy web-session; Bearer middleware; path session token ignored | session_token:str, payload:ApproveAllRequest, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:6053 (outbound_approve_all)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/outbound/history | legacy web-session; Bearer middleware; path session token ignored | session_token:str, request:Request, provider_id:str | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:6107 (outbound_history)
VERIFIED | GET /api/web/session/{session_token}/outbound/events | legacy web-session; Bearer middleware; path session token ignored | session_token:str, request:Request, provider_id:str, after:int | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:6148 (outbound_events_endpoint)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/outbound/drafts/{draft_id}/versions | legacy web-session; Bearer middleware; path session token ignored | session_token:str, draft_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:6176 (outbound_draft_versions)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/knowledge | legacy web-session; Bearer middleware; path session token ignored | session_token:str, request:Request, category:str, q:str, limit:int | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:6222 (list_knowledge)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/knowledge | legacy web-session; Bearer middleware; path session token ignored | session_token:str, payload:KnowledgeItemCreateRequest, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:6241 (create_knowledge_item)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/knowledge/sources | legacy web-session; Bearer middleware; path session token ignored | session_token:str, request:Request, q:str, limit:int | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:6265 (list_knowledge_sources)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/knowledge/sources | legacy web-session; Bearer middleware; path session token ignored | session_token:str, payload:KnowledgeSourceCreateRequest, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:6279 (create_knowledge_source)
IMPLEMENTED but untested | PUT /api/web/session/{session_token}/knowledge/sources/{source_id} | legacy web-session; Bearer middleware; path session token ignored | session_token:str, source_id:str, payload:KnowledgeSourceUpdateRequest, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:6301 (update_knowledge_source)
IMPLEMENTED but untested | DELETE /api/web/session/{session_token}/knowledge/sources/{source_id} | legacy web-session; Bearer middleware; path session token ignored | session_token:str, source_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:6327 (archive_knowledge_source)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/knowledge/{item_id} | legacy web-session; Bearer middleware; path session token ignored | session_token:str, item_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:6340 (get_knowledge_item)
IMPLEMENTED but untested | PUT /api/web/session/{session_token}/knowledge/{item_id} | legacy web-session; Bearer middleware; path session token ignored | session_token:str, item_id:str, payload:KnowledgeItemUpdateRequest, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:6350 (update_knowledge_item)
IMPLEMENTED but untested | DELETE /api/web/session/{session_token}/knowledge/{item_id} | legacy web-session; Bearer middleware; path session token ignored | session_token:str, item_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:6377 (archive_knowledge_item)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/strategic-updates | legacy web-session; Bearer middleware; path session token ignored | session_token:str, request:Request, update_type:str, confidence:str, q:str, include_archived:bool | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:6397 (list_strategic_updates)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/strategic-updates/refresh | legacy web-session; Bearer middleware; path session token ignored | session_token:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:6422 (refresh_strategic_updates)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/strategic-updates/{update_id}/actions | legacy web-session; Bearer middleware; path session token ignored | session_token:str, update_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:6429 (list_strategic_actions)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/strategic-updates/{update_id}/actions | legacy web-session; Bearer middleware; path session token ignored | session_token:str, update_id:str, request:Request, payload:dict | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:6437 (propose_strategic_action)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/strategic-updates/{update_id} | legacy web-session; Bearer middleware; path session token ignored | session_token:str, update_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:6452 (get_strategic_update)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/strategic-actions/{action_id}/approve | legacy web-session; Bearer middleware; path session token ignored | session_token:str, action_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:6480 (approve_strategic_action)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/strategic-actions/{action_id}/dismiss | legacy web-session; Bearer middleware; path session token ignored | session_token:str, action_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:6487 (dismiss_strategic_action)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/strategic-actions/{action_id}/refine | legacy web-session; Bearer middleware; path session token ignored | session_token:str, action_id:str, request:Request, payload:dict | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:6494 (refine_strategic_action)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/strategic-actions/{action_id}/execute | legacy web-session; Bearer middleware; path session token ignored | session_token:str, action_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:6504 (execute_strategic_action)
IMPLEMENTED but untested | DELETE /api/web/session/{session_token}/strategic-updates/{update_id} | legacy web-session; Bearer middleware; path session token ignored | session_token:str, update_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:6511 (archive_strategic_update)
VERIFIED | POST /api/web/session/{session_token}/campaigns | legacy web-session; Bearer middleware; path session token ignored | session_token:str, payload:SaveCampaignRequest, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:6870 (save_campaign)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/campaigns | legacy web-session; Bearer middleware; path session token ignored | session_token:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:7009 (list_campaigns)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/campaigns/summary | legacy web-session; Bearer middleware; path session token ignored | session_token:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:7032 (campaign_summary)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/campaigns/{campaign_id} | legacy web-session; Bearer middleware; path session token ignored | session_token:str, campaign_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:7052 (get_campaign)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/campaigns/{campaign_id}/launch-progress | legacy web-session; Bearer middleware; path session token ignored | session_token:str, campaign_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:7068 (campaign_launch_progress)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/campaigns/{campaign_id}/timeline | legacy web-session; Bearer middleware; path session token ignored | session_token:str, campaign_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:7085 (campaign_timeline)
IMPLEMENTED but untested | PUT /api/web/session/{session_token}/campaigns/{campaign_id} | legacy web-session; Bearer middleware; path session token ignored | session_token:str, campaign_id:str, payload:UpdateCampaignRequest, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:7116 (update_campaign)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/campaigns/{campaign_id}/generate-strategy | legacy web-session; Bearer middleware; path session token ignored | session_token:str, campaign_id:str, payload:RegenerateStrategyRequest | None, request:Request | 202 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:7381 (generate_campaign_strategy)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/campaigns/{campaign_id}/strategy-jobs/{job_id} | legacy web-session; Bearer middleware; path session token ignored | session_token:str, campaign_id:str, job_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:7606 (strategy_job_status)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/campaigns/{campaign_id}/leads | legacy web-session; Bearer middleware; path session token ignored | session_token:str, campaign_id:str, payload:AddCampaignLeadRequest, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:7652 (add_campaign_lead)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/leads/decision | legacy web-session; Bearer middleware; path session token ignored | session_token:str, payload:LeadDecisionRequest, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:7710 (decide_workspace_lead)
IMPLEMENTED but untested | DELETE /api/web/session/{session_token}/campaigns/{campaign_id} | legacy web-session; Bearer middleware; path session token ignored | session_token:str, campaign_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:7906 (delete_campaign)
